species,j,k,eta,sigma_mu
0.00000,96.57256,0.30110,1.48292,0.00100
0.00000,-6.11629,0.77940,1.91436,0.00495
0.00000,-10.34483,0.56058,2.18594,0.00626
0.00000,6.76610,0.50481,2.02530,0.00707
0.00000,13.88742,0.58821,1.72689,0.00128
0.00000,11.36712,0.53859,1.35853,0.00810
0.00000,62.54007,0.45927,1.56625,0.00026
0.00000,-1.83034,0.60037,1.70360,0.00750
0.00000,479.58499,0.20368,1.71536,0.00043
0.00000,41.87083,0.44948,1.64566,0.00455
0.00000,4.33015,0.56327,1.86217,0.00645
0.00000,-8.95964,0.58723,2.26462,0.00709
0.00000,9.83573,0.60271,1.82871,0.00723
0.00000,-4.13977,0.60640,2.09981,0.00526
0.00000,240.49878,0.30497,1.27249,0.00106
0.00000,-2.94331,0.61309,2.50772,0.00818
0.00000,39.94485,0.57749,1.75866,0.00162
0.00000,-0.62989,0.77615,2.56229,0.00438
0.00000,-0.92421,0.53413,2.10888,0.00628
0.00000,-6.08184,0.48880,2.77272,0.00485
0.00000,15.44024,0.50680,1.63846,0.00770
0.00000,-0.74581,0.48475,1.82625,0.00888
0.00000,0.92952,0.56442,1.95664,0.00472
0.00000,0.72978,0.56123,1.42157,0.00720
0.00000,24.50220,0.50427,1.43586,0.00265
0.00000,16.77898,0.55077,1.77069,0.00102
0.00000,955.37872,0.08099,2.03062,0.00044
0.00000,-0.14516,0.37412,1.71023,0.01101
0.00000,46.44523,0.44294,2.19808,0.00135
0.00000,0.09949,0.50984,1.97435,0.00462
0.00000,54.52304,0.52182,1.69796,0.00178
0.00000,22.75995,0.49275,1.52304,0.00846
0.00000,-0.46529,0.60982,1.94886,0.00724
0.00000,21.48719,0.49153,1.56087,0.00515
0.00000,-7.06350,0.56216,1.84433,0.00762
0.00000,118.42719,0.41781,1.95247,0.00073
0.00000,1.03487,0.64614,4.21792,0.00953
0.00000,25.60137,0.51286,2.00219,0.00350
0.00000,33.98169,0.56709,1.62016,0.00240
0.00000,-1.75204,0.34873,3.11789,0.00797
0.00000,2.01942,0.47991,1.89772,0.00458
0.00000,-1.52229,0.86172,2.56728,0.00848
0.00000,247.54044,0.16213,1.63312,0.00232
0.00000,-7.95224,0.54533,1.90718,0.00724
0.00000,-6.62840,0.68135,3.02048,0.00700
0.00000,-6.60978,0.44868,2.48419,0.00761
0.00000,-1.71368,0.50347,2.64983,0.00982
0.00000,2.18934,0.51704,1.54207,0.00480
0.00000,4.63203,0.45669,1.22789,0.00612
0.00000,51.33919,0.46363,1.38479,0.00073
0.00000,-0.30913,0.55416,1.68080,0.01345
0.00000,63.98831,0.42797,1.52858,0.00145
0.00000,31.72605,0.43182,1.40197,0.00157
0.00000,26.70323,0.50552,1.77449,0.00214
0.00000,-12.18155,0.34512,2.24177,0.00672
0.00000,-4.93690,0.47646,1.80115,0.01206
0.00000,22.56992,0.46467,2.07586,0.00253
0.00000,-1.27068,1.24692,2.38760,0.00358
0.00000,15.57176,0.54414,1.83534,0.00695
0.00000,20.72751,0.52398,2.02242,0.00315
0.00000,-1.04386,0.67868,2.12192,0.00172
0.00000,52.78118,0.46177,1.92664,0.00118
0.00000,31.58440,0.51798,1.51917,0.00648
0.00000,20.49473,0.47641,1.95321,0.00115
0.00000,-1.09325,0.66190,2.42017,0.00621
0.00000,7.12164,0.47786,1.86944,0.00456
0.00000,-9.81709,0.51935,2.32783,0.00699
0.00000,14.87426,0.49119,2.01035,0.00762
0.00000,3.96112,0.53684,1.98350,0.00434
0.00000,63.50257,0.43462,1.45159,0.00311
