# Cluster_name, RA, Dec, l,b,Dist,Mod,EB-V,Age,ST,Z,Diam,Fe_H,MRV,pm_RA,pm_Dec
ASCC 9,02 46 55,+57 43 47,137.87,-1.76,2900,15.10,0.90,6.79,,-89.1,20.4,,-41.75,+0.76,-3.03
NGC 7281,22 25 19,+57 49 11,104.44,0.29,1620,12.60,0.50,7.86,,8.2,24.0,,,-0.46,-2.41
Stock 21,00 29 49,+57 55 11,120.05,-4.83,1100,11.45,0.40,8.72,A1,-92.6,16.8,,,-0.12,-1.52
NGC 7261,22 20 11,+58 07 18,104.037,0.910,1681,14.13,0.969,7.670,B2,26.7,5.0,,,,
NGC 7380,22 47 21,+58 07 54,107.141,-0.884,2222,13.60,0.602,7.077,O6,-34.3,20.0,,-39.00,-1.74,-2.52
King 2,00 51 00,+58 11 00,122.874,-4.688,5750,14.76,0.31,9.78,,-469.9,5.0,,,,
King 18,22 52 06,+58 17 00,107.768,-1.031,2340,13.80,0.63,8.40,,-42.1,5.0,,,,
NGC 0457,01 19 35,+58 17 12,126.635,-4.383,2429,13.39,0.472,7.324,B2,-185.6,20.0,,-34.00,-0.61,-1.90
IC 361,04 19 00,+58 18 00,147.484,5.701,1070,13.61,1.117,7.718,,106.3,6.0,,,,
Basel 10,02 18 48,+58 19 00,134.300,-2.615,1944,13.84,0.774,7.608,,-88.7,2.0,,,,
Juchert 9,03 55 21,+58 23 30,145.120,3.680,4400,15.67,0.79,7.60,,282.4,3.0,,,,
King 20,23 33 17,+58 28 33,112.848,-2.857,1900,13.41,0.65,8.30,,-94.7,5.0,,,,
Czernik 14,03 16 54,+58 36 00,140.929,0.906,,,,,,,4.0,,,,
Czernik 8,02 33 00,+58 44 00,135.796,-1.579,1409,13.23,0.803,7.904,,-38.8,2.0,,,,
Alessi 20,00 10 33,+58 45 35,117.64,-3.69,450,8.95,0.22,8.22,,-29.0,36.0,,,7.48,-2.61
Berkeley 66,03 04 18,+58 46 00,139.434,0.218,5200,17.46,1.25,9.70,,19.8,4.0,,,,
NGC 0436,01 15 58,+58 48 42,126.111,-3.909,3014,13.82,0.460,7.926,B5,-205.5,5.0,,-74.4,,
ASCC 7,01 58 55,+58 58 12,131.54,-2.77,2000,13.06,0.50,7.36,,-96.7,30.0,,-49.00,-0.57,-3.08
King 4,02 35 42,+59 00 00,136.015,-1.198,3172,15.18,0.863,7.605,,-66.3,5.0,,,,
Berkeley 97,22 39 30,+59 01 00,106.656,0.379,1800,13.60,0.75,7.30,,11.9,2.0,,,,
Tombaugh 5,03 47 48,+59 03 00,143.942,3.573,1750,13.70,0.80,8.30,,110,14.0,,,,
Berkeley 95,22 28 18,+59 08 00,105.471,1.203,3260,16.80,1.36,7.55,,68.4,3.0,,,,
King 10,22 54 54,+59 10 00,108.481,-0.396,3379,16.17,1.138,7.446,,-23.4,4.0,,,,
Stock 2,02 15 00,+59 16 00,133.334,-1.694,303,8.59,0.38,8.23,B8,-9.0,45.0,,,+17.29,-13.10
Berkeley 103,23 45 12,+59 18 00,114.557,-2.490,2100,14.70,1.00,8.70,,-91.2,2.0,,,,
NGC 6832,19 48 15,+59 25 18,92.005,16.349,,,,,,,15.0,,,,
ASCC 8,02 20 49,+59 36 36,134.02,-1.33,2200,13.42,0.55,6.76,,-51.1,36.0,,-42.09,-1.24,+0.57
Czernik 11,02 36 35,+59 38 00,135.870,-0.571,,,,,,,5.0,,,,
Czernik 9,02 33 32,+59 53 12,135.417,-0.487,1660,14.36,1.05,8.80,,-14.1,10.0,,,,
Czernik 42,22 39 48,+59 54 54,107.124,1.147,,,,,,,2.0,,,,
NGC 7429,22 56 00,+59 58 24,108.955,0.272,,,,,,,14.0,,,,
NGC 7795,23 58 37,+60 02 06,116.376,-2.163,,,,,,,21.0,,,,
Stock 23,03 16 11,+60 02 59,140.08,2.09,380,8.70,0.26,7.51,B6,13.9,21.6,,-16.75,-1.34,-1.11
NGC 0433,01 15 11,+60 07 36,125.888,-2.609,2323,14.50,0.86,7.50,B0,-105.7,2.0,,,,
Czernik 2,00 43 42,+60 09 00,121.968,-2.707,,,,,,,10.0,,,,
NGC 0743,01 58 37,+60 09 18,131.203,-1.633,,,,,,,6.0,,,,
Czernik 10,02 33 54,+60 10 00,135.352,-0.211,,,,,,,4.0,,,,
NGC 0129,00 30 00,+60 13 06,120.270,-2.543,1625,12.75,0.548,7.886,B5,-72.1,19.0,,-38.5,-1.06,+1.60
Berkeley 2,00 25 18,+60 24 00,119.707,-2.308,5250,16.08,0.8,8.9,,-211.4,2.0,,,,
Collinder 33,02 59 16,+60 24 00,138.09,1.34,1000,11.24,0.40,8.36,,23.4,43.2,,-6.75,2.70,+03.17
Berkeley 65,02 39 00,+60 25 00,135.834,0.268,2274,15.26,1.121,6.995,,10.6,5.0,,,,
Collinder 34,03 00 54,+60 25 00,138.026,1.500,,,,,,,25.0,,,,
IC 1848,02 51 12,+60 26 00,137.191,0.920,2002,13.36,0.598,6.840,O7,32.1,18.0,,-22.00,-5.15,+0.35
Markarian 50,23 15 18,+60 28 00,111.350,-0.225,2114,14.14,0.810,7.095,B0,-8.3,2.0,,,,
Berkeley 1,00 09 36,+60 28 30,117.796,-1.979,2420,14.35,0.78,8.60,,-83.6,5.0,,,,
King 19,23 08 18,+60 31 00,110.570,0.144,1967,13.16,0.547,8.557,B6,4.9,5.0,,,+6.48,+5.98
NGC 7510,23 11 03,+60 34 12,110.903,0.064,2075,14.24,0.855,7.578,O9,2.3,6.0,,,,
NGC 0581,01 33 23,+60 39 00,128.053,-1.804,2194,12.89,0.382,7.336,B2,-69.1,5.0,,-37.00,-1.60,+0.66
Stock 7,02 29 36,+60 39 00,134.65,0.10,698,11.10,0.606,7.214,B2,0.0,5.0,,-8.0,-3.33,+0.24
NGC 6939,20 31 30,+60 39 42,95.903,12.304,1185,11.36,0.320,9.346,B8,252.5,10.0,+0.02,-42.00,,
NGC 0659,01 44 24,+60 40 24,129.375,-1.534,1938,13.46,0.652,7.548,B0,-51.9,5.0,,,-2.67,+1.07
NGC 7419,22 54 20,+60 48 54,109.134,1.120,1382,16.37,1.828,7.283,,27.0,5.0,,,,
Dolidze 12,00 41 00,+60 51 00,121.660,-1.996,,,,,,,18.0,,,,
Pfleiderer 3,23 08 11,+60 52 24,110.695,0.479,,,,,,,4.0,,,,
Berkeley 60,00 17 42,+60 56 00,118.844,-1.670,4365,15.87,0.86,8.20,,-127.2,3.0,+0.07,,,
Berkeley 58,00 00 12,+60 58 00,116.753,-1.289,3715,14.55,0.55,8.40,,-83.6,5.0,,,,
Berkeley 6,01 51 12,+61 05 00,130.094,-0.955,2300,14.25,0.78,8.00,,-38.3,5.0,,,,
NGC 0189,00 39 35,+61 05 06,121.499,-1.744,752,10.68,0.42,7.00,A0,-22.9,3.0,,,,
ASCC 118,22 08 23,+61 05 59,104.48,4.21,900,10.70,0.30,7.02,,66.1,25.2,,-42.00,-2.19,-4.03
King 13,00 10 06,+61 10 00,117.968,-1.306,3100,15.00,0.82,8.50,,-70.7,5.0,,,,
NGC 7790,23 58 24,+61 12 30,116.589,-1.008,2944,13.99,0.531,7.749,B4,-51.8,5.0,,-78.0,-0.73,-2.14
NGC 0663,01 46 09,+61 14 06,129.467,-0.941,1952,13.87,0.780,7.209,B1,-32.1,14.0,,-32.0,-1.49,-2.30
Czernik 4,01 35 24,+61 16 00,128.179,-0.945,,,,,,,4.0,,,,
Trumpler 1,01 35 42,+61 17 00,128.224,-1.133,2563,13.85,0.582,7.480,B2,-50.7,3.0,,,,
Czernik 43,23 25 48,+61 19 11,112.841,0.134,2500,14.16,0.70,7.70,,5.7,20.4,,-58.05,-2.77,-2.20
NGC 0103,00 25 16,+61 19 24,119.797,-1.389,3026,13.66,0.406,8.126,B3,-73.4,4.0,,,,
Czernik 5,01 55 06,+61 20 00,130.491,-0.601,,,,,,,2.0,,,,
NGC 7788,23 56 45,+61 23 54,116.434,-0.782,2374,12.75,0.283,7.593,B4,-32.4,4.0,,,-3.07,-1.71
IC 1805,02 32 42,+61 27 00,134.726,0.919,1886,13.93,0.822,6.822,O5,30.2,20.0,,-26.00,-2.10,-1.57
Czernik 1,00 07 38,+61 28 30,117.726,-0.953,,,,,,,4.0,,,,
NGC 0136,00 31 31,+61 30 36,120.558,-1.270,5220,15.76,0.70,8.40,,-115.7,1.5,,,,
ASCC 4,00 53 09,+61 34 48,123.13,-1.29,750,10.31,0.30,8.34,,-16.9,48.0,,-9.55,+0.11,-1.48
NGC 0381,01 08 19,+61 35 00,124.939,-1.223,1148,11.54,0.40,8.505,A2,-24.5,6.0,+0.07,,+0.87,-1.34
NGC 7654,23 24 48,+61 35 36,112.819,0.434,1421,12.77,0.646,7.764,B6,10.8,15.0,,-35.5,-0.56,+0.90
NGC 1027,02 42 40,+61 35 42,135.758,1.525,772,10.45,0.325,8.203,B3,20.5,20.0,,+15.0,-1.90,+1.60
Frolov 1,23 57 25,+61 37 48,116.56,-0.57,2560,13.90,0.60,7.66,,-25.5,18.0,,,-5.91,-1.35
Mayer 1,00 21 54,+61 44 24,119.44,-0.93,1429,12.02,0.40,7.74,,-23.2,24.0,,-20.9,-5.27,-5.87
Harvard 21,23 54 06,+61 46 00,116.206,-0.354,,,,,,,3.0,,,,
NGC 0225,00 43 39,+61 46 30,122.011,-1.083,657,9.94,0.274,8.114,B8,-12.4,12.0,,,-4.95,-0.50
Tombaugh 4,02 29 10,+61 47 42,134.207,1.082,2170,14.81,1.01,9.00,,46.5,3.0,,,,
IC 166,01 52 30,+61 50 00,130.071,-0.189,3970,16.25,1.050,8.629,,-13.1,7.0,-0.17,,,
King 15,00 32 54,+61 52 00,120.748,-0.926,3162,14.67,0.70,8.40,,-51.1,3.0,+0.07,,,
