# Event	Field	Star No	RA (J2000)	Dec (J2000)	Tmax (HJD)	Tmax (UT)	tau	Umin	Amax
2011-BLG-1316	BLG501.20	 18212	17:52:49.79	-29:42:06.0	2455821.426	2011-09-16.93	27.058	0.376	2.800
2011-BLG-1317	BLG501.22	 40559	17:51:18.51	-29:47:29.8	2455849.828	2011-10-15.33	41.150	0.519	2.117
2011-BLG-1318	BLG504.04	 132160	17:57:31.98	-28:32:10.7	2455816.604	2011-09-12.10	7.602	0.094	10.71
2011-BLG-1319	BLG504.18	 116719	17:59:30.32	-27:53:47.5	2455867.752	2011-11-02.25	50.942	1.347	1.174
2011-BLG-1320	BLG505.04	 48381	17:57:49.57	-29:35:02.6	2455817.427	2011-09-12.93	55.631	0.044	22.99
2011-BLG-1321	BLG505.26	 133235	17:59:30.91	-28:44:10.9	2455820.460	2011-09-15.96	5.931	1.112	1.272
2011-BLG-1322	BLG505.32	 24834	17:55:42.54	-28:43:58.4	2455811.930	2011-09-07.43	29.302	0.274	3.749
2011-BLG-1323	BLG506.32	 145693	17:55:09.34	-30:04:44.1	2455854.338	2011-10-19.84	128.881	0.012	80.60
2011-BLG-1324	BLG512.15	 137128	18:00:48.45	-28:45:36.3	2455819.040	2011-09-14.54	19.414	0.661	1.750
2011-BLG-1325	BLG515.06	 113469	18:01:30.69	-32:52:48.0	2455812.247	2011-09-07.75	15.778	0.153	6.609
2011-BLG-1326	BLG534.23	 66719	17:50:15.54	-31:01:47.2	2455821.276	2011-09-16.78	18.891	1.519	1.129
2011-BLG-1327	BLG611.09	 48016	17:37:48.01	-27:20:54.3	2455812.896	2011-09-08.40	147.622	0.068	14.81
2011-BLG-1328	BLG625.30	 47689	17:39:44.93	-22:17:34.8	2455808.074	2011-09-03.57	12.473	0.707	1.667
2011-BLG-1329	BLG500.03	 30244	17:53:02.14	-29:04:15.2	2455816.691	2011-09-12.19	23.195	0.032	30.84
2011-BLG-1330	BLG500.13	 104581	17:51:04.73	-28:42:08.5	2455826.494	2011-09-21.99	9.934	0.836	1.489
2011-BLG-1331	BLG501.10	 33345	17:53:34.84	-29:56:29.2	2455861.607	2011-10-27.11	58.021	1.866	1.074
2011-BLG-1332	BLG504.13	 117889	17:56:46.11	-28:13:58.7	2455855.364	2011-10-20.86	71.120	0.112	8.995
2011-BLG-1333	BLG505.01	 78664	17:59:47.98	-29:37:54.2	2455826.469	2011-09-21.97	135.220	0.337	3.095
2011-BLG-1334	BLG505.13	 88076	17:56:55.18	-29:18:53.4	2455863.410	2011-10-28.91	45.659	1.442	1.147
2011-BLG-1335	BLG505.29	 127951	17:57:29.61	-28:49:30.2	2455821.853	2011-09-17.35	52.024	0.128	7.836
2011-BLG-1336	BLG506.20	 98531	17:58:06.45	-30:19:18.2	2456011.116	2012-03-24.62	120.109	0.714	1.655
2011-BLG-1337	BLG506.23	 94216	17:56:01.75	-30:22:04.4	2455811.699	2011-09-07.20	4.737	0.871	1.452
2011-BLG-1338	BLG506.24	 96257	17:55:16.33	-30:21:31.8	2455828.068	2011-09-23.57	21.014	0.429	2.486
2011-BLG-1339	BLG509.07	 66194	17:55:15.53	-34:33:10.2	2455810.095	2011-09-05.59	12.336	0.877	1.446
2011-BLG-1340	BLG512.05	 217742	18:02:04.97	-28:57:41.1	2455815.223	2011-09-10.72	2.312	0.000	42949
2011-BLG-1341	BLG512.15	 135745	18:00:46.64	-28:46:07.7	2455829.003	2011-09-24.50	30.760	0.185	5.470
2011-BLG-1342	BLG512.16	 185820	18:00:02.79	-28:48:45.2	2455838.147	2011-10-03.65	14.710	0.603	1.877
2011-BLG-1343	BLG512.25	 5807	18:00:27.55	-28:34:08.3	2455828.079	2011-09-23.58	13.267	1.375	1.166
2011-BLG-1344	BLG513.07	 81159	18:00:49.76	-30:23:55.0	2455812.733	2011-09-08.23	6.796	0.083	12.11
