# Event	Field	Star No	RA (J2000)	Dec (J2000)	Tmax (HJD)	Tmax (UT)	tau	Umin	Amax
2011-BLG-0001	BLG500.01	 129412	17:54:00.05	-29:06:06.0	2455644.193	2011-03-23.69	52.050	0.123	8.163
2011-BLG-0002	BLG500.08	 102027	17:54:44.93	-28:54:13.5	2455608.966	2011-02-16.47	20.035	0.189	5.369
2011-BLG-0003	BLG501.07	 52013	17:49:39.07	-30:27:08.4	2455611.212	2011-02-18.71	34.101	0.644	1.784
2011-BLG-0004	BLG501.15	 61522	17:49:38.40	-29:52:52.3	2455637.915	2011-03-17.41	38.853	0.174	5.817
2011-BLG-0005	BLG501.18	 118373	17:54:04.34	-29:48:47.7	2455593.759	2011-02-01.26	85.986	0.155	6.504
2011-BLG-0006	BLG501.27	 111319	17:53:16.13	-29:29:35.3	2455611.925	2011-02-19.43	38.615	0.166	6.095
2011-BLG-0007	BLG504.02	 112872	17:58:51.48	-28:34:36.9	2455628.113	2011-03-07.61	34.180	0.702	1.675
2011-BLG-0008	BLG505.01	 79297	17:59:47.22	-29:38:14.1	2455609.500	2011-02-17.00	27.466	0.064	15.53
2011-BLG-0009	BLG505.10	 187936	17:58:43.24	-29:26:11.3	2455607.328	2011-02-14.83	134.331	0.014	72.95
2011-BLG-0010	BLG505.21	 161357	17:57:30.03	-28:58:08.6	2455601.160	2011-02-08.66	114.964	0.012	85.39
2011-BLG-0011	BLG506.08	 113128	18:00:16.53	-30:32:02.3	2455605.100	2011-02-12.60	19.568	0.820	1.508
2011-BLG-0012	BLG506.30	 149907	17:56:28.38	-30:04:30.4	2455631.961	2011-03-11.46	35.380	0.259	3.960
2011-BLG-0013	BLG506.31	 97366	17:56:01.78	-30:05:12.8	2455606.721	2011-02-14.22	33.007	0.344	3.038
2011-BLG-0014	BLG511.03	 130900	18:03:41.18	-27:45:42.6	2455612.384	2011-02-19.88	21.681	0.508	2.154
2011-BLG-0015	BLG511.08	 178639	18:05:30.99	-27:25:59.9	2455595.247	2011-02-02.75	20.838	0.785	1.551
2011-BLG-0016	BLG511.15	 70168	18:00:56.43	-27:29:51.9	2455594.850	2011-02-02.35	58.120	0.088	11.35
2011-BLG-0017	BLG511.21	 63166	18:03:01.98	-27:07:04.9	2455584.931	2011-01-23.43	26.859	0.000	4225.
2011-BLG-0018	BLG512.14	 215316	18:01:28.23	-28:41:30.2	2455592.797	2011-01-31.30	19.372	0.070	14.41
2011-BLG-0019	BLG611.20	 136188	17:36:12.19	-26:53:46.9	2455611.807	2011-02-19.31	93.125	0.068	14.65
2011-BLG-0020	BLG500.03	 140029	17:52:37.13	-28:59:03.6	2455624.825	2011-03-04.33	21.471	0.259	3.961
2011-BLG-0021	BLG500.27	 28628	17:53:35.25	-27:59:56.2	2455619.372	2011-02-26.87	70.807	0.009	111.6
2011-BLG-0022	BLG501.10	 127166	17:53:17.93	-30:02:29.3	2455688.147	2011-05-06.65	53.582	0.874	1.449
2011-BLG-0023	BLG501.13	 6334	17:51:28.61	-30:05:53.7	2455613.408	2011-02-20.91	49.692	0.341	3.057
2011-BLG-0024	BLG504.01	 58591	17:59:48.30	-28:31:23.4	2455573.603	2011-01-12.10	35.275	0.251	4.085
2011-BLG-0025	BLG504.06	 111429	17:56:01.69	-28:36:14.0	2455610.925	2011-02-18.43	21.567	0.065	15.30
2011-BLG-0026	BLG504.07	 94995	17:55:34.57	-28:20:16.5	2455609.722	2011-02-17.22	14.604	0.328	3.170
2011-BLG-0027	BLG504.10	 83685	17:59:03.33	-28:04:51.4	2455610.647	2011-02-18.15	7.606	1.073	1.294
2011-BLG-0028	BLG504.15	 98277	17:55:16.38	-28:10:18.7	2455606.663	2011-02-14.16	3.529	1.744	1.089
2011-BLG-0029	BLG505.02	 64080	17:59:01.51	-29:46:13.3	2455587.561	2011-01-26.06	19.223	1.637	1.106
2011-BLG-0030	BLG505.04	 172275	17:57:22.74	-29:34:16.8	2455608.356	2011-02-15.86	3.572	0.939	1.389
2011-BLG-0031	BLG505.10	 152003	17:58:51.73	-29:19:36.7	2455609.804	2011-02-17.30	5.947	0.792	1.542
2011-BLG-0032	BLG505.13	 146606	17:56:40.72	-29:18:26.9	2455610.499	2011-02-18.00	6.058	0.080	12.51
2011-BLG-0033	BLG505.14	 206604	17:55:52.85	-29:15:32.1	2455605.199	2011-02-12.70	34.559	0.734	1.624
2011-BLG-0034	BLG505.20	 138540	17:58:05.90	-29:06:10.5	2455608.333	2011-02-15.83	10.267	0.381	2.768
2011-BLG-0035	BLG505.28	 72543	17:58:23.17	-28:48:38.5	2455601.947	2011-02-09.45	46.008	0.148	6.821
2011-BLG-0036	BLG506.07	 101660	17:55:16.68	-31:04:01.1	2455603.089	2011-02-10.59	101.612	0.017	57.32
2011-BLG-0037	BLG506.14	 113405	17:55:55.83	-30:33:39.7	2455802.361	2011-08-28.86	206.258	0.133	7.593
2011-BLG-0038	BLG506.26	 121791	17:59:34.23	-29:57:53.4	2455599.602	2011-02-07.10	7.748	0.242	4.227
2011-BLG-0039	BLG506.30	 54155	17:56:48.54	-30:03:57.6	2455582.631	2011-01-21.13	102.790	0.283	3.643
2011-BLG-0040	BLG511.05	 175761	18:02:08.33	-27:50:07.2	2455602.343	2011-02-09.84	19.330	1.468	1.141
2011-BLG-0041	BLG511.15	 22395	18:01:11.07	-27:29:21.8	2455637.444	2011-03-16.94	45.512	1.774	1.085
2011-BLG-0042	BLG511.18	 161377	18:04:54.25	-27:16:42.3	2455596.280	2011-02-03.78	51.617	0.431	2.477
2011-BLG-0043	BLG511.19	 54460	18:04:35.84	-27:19:29.0	2455578.573	2011-01-17.07	63.787	0.950	1.380
2011-BLG-0044	BLG511.22	 112330	18:02:03.63	-27:15:42.3	2455607.479	2011-02-14.98	27.498	0.155	6.498
2011-BLG-0045	BLG512.09	 76855	18:05:19.97	-28:45:14.5	2455640.565	2011-03-20.07	69.391	0.244	4.194
2011-BLG-0046	BLG512.11	 116036	18:03:38.43	-28:54:16.5	2455604.788	2011-02-12.29	16.791	0.586	1.919
2011-BLG-0047	BLG512.15	 208665	18:00:40.40	-28:42:20.0	2455607.147	2011-02-14.65	5.707	1.191	1.233
2011-BLG-0048	BLG512.27	 204619	18:04:13.14	-28:09:31.8	2455595.049	2011-02-02.55	54.961	0.193	5.257
2011-BLG-0049	BLG512.31	 56794	18:01:44.90	-28:14:08.0	2455604.673	2011-02-12.17	9.775	1.371	1.167
2011-BLG-0050	BLG611.17	 8505	17:38:32.25	-27:03:56.8	2455643.276	2011-03-22.78	50.364	0.223	4.561
2011-BLG-0051	BLG500.03	 113234	17:52:42.17	-29:09:05.7	2455621.376	2011-02-28.88	19.548	0.576	1.945
2011-BLG-0052	BLG500.14	 35322	17:50:39.93	-28:41:16.2	2455623.486	2011-03-02.99	15.056	0.148	6.819
2011-BLG-0053	BLG500.20	 119373	17:52:34.53	-28:23:09.5	2455614.063	2011-02-21.56	15.654	0.112	8.980
2011-BLG-0054	BLG501.13	 137000	17:50:56.33	-30:01:20.0	2455620.800	2011-02-28.30	5.665	1.233	1.215
2011-BLG-0055	BLG501.18	 208448	17:53:50.56	-29:39:04.7	2455605.289	2011-02-12.79	63.705	0.202	5.030
2011-BLG-0056	BLG504.03	 24349	17:58:31.37	-28:27:43.8	2455613.372	2011-02-20.87	9.057	1.745	1.089
2011-BLG-0057	BLG504.04	 152695	17:57:22.76	-28:24:31.4	2455598.032	2011-02-05.53	15.512	0.089	11.23
2011-BLG-0058	BLG504.09	 94511	17:59:49.72	-28:02:37.0	2455626.905	2011-03-06.41	20.316	1.112	1.272
2011-BLG-0059	BLG505.14	 26719	17:56:20.75	-29:21:00.5	2455607.888	2011-02-15.39	3.025	1.698	1.096
2011-BLG-0060	BLG505.17	 208535	18:00:06.95	-29:01:13.4	2455586.921	2011-01-25.42	31.920	0.293	3.521
2011-BLG-0062	BLG506.27	 178636	17:58:37.87	-30:00:38.8	2455621.506	2011-03-01.01	251.799	0.016	61.34
2011-BLG-0063	BLG506.29	 160019	17:57:19.94	-30:02:53.5	2455623.132	2011-03-02.63	58.503	0.238	4.296
2011-BLG-0064	BLG511.04	 114504	18:02:57.03	-27:52:52.2	2455751.370	2011-07-08.87	144.212	1.490	1.136
2011-BLG-0065	BLG511.06	 77134	18:01:42.56	-27:49:48.7	2455614.310	2011-02-21.81	13.307	0.398	2.662
2011-BLG-0066	BLG511.21	 47561	18:03:02.64	-27:14:04.6	2455622.711	2011-03-02.21	9.367	0.244	4.196
2011-BLG-0067	BLG511.32	 43539	18:00:58.82	-26:52:13.7	2455602.348	2011-02-09.85	43.963	1.041	1.314
2011-BLG-0068	BLG512.04	 60280	18:03:12.55	-29:11:49.2	2455590.931	2011-01-29.43	40.258	0.747	1.604
2011-BLG-0069	BLG512.17	 98917	18:05:58.23	-28:19:37.5	2455632.911	2011-03-12.41	83.303	0.186	5.436
2011-BLG-0070	BLG512.23	 47415	18:01:52.18	-28:20:34.8	2455617.043	2011-02-24.54	108.816	0.159	6.350
2011-BLG-0071	BLG534.02	 105474	17:53:10.54	-31:28:10.6	2455629.046	2011-03-08.55	45.818	0.252	4.064
2011-BLG-0072	BLG534.29	 107167	17:51:40.85	-30:40:13.6	2455610.362	2011-02-17.86	8.167	0.249	4.108
2011-BLG-0073	BLG534.32	 55610	17:49:43.93	-30:30:31.5	2455620.903	2011-02-28.40	34.866	0.424	2.517
2011-BLG-0074	BLG534.32	 85469	17:49:39.07	-30:27:08.4	2455610.735	2011-02-18.23	32.596	0.658	1.757
2011-BLG-0075	BLG611.19	 127977	17:36:48.96	-26:54:38.1	2455618.131	2011-02-25.63	25.337	0.132	7.647
2011-BLG-0076	BLG611.23	 139342	17:33:49.76	-27:04:53.8	2455605.964	2011-02-13.46	14.016	1.472	1.140
2011-BLG-0077	BLG506.23	 35361	17:56:22.87	-30:12:45.4	2455620.660	2011-02-28.16	7.681	0.237	4.311
2011-BLG-0078	BLG512.32	 73717	18:01:03.84	-28:07:04.4	2455619.194	2011-02-26.69	9.552	0.144	7.014
2011-BLG-0079	BLG501.03	 51485	17:52:45.35	-30:25:39.8	2455647.481	2011-03-26.98	48.215	0.471	2.296
2011-BLG-0080	BLG501.08	 191275	17:54:25.67	-30:00:57.0	2455622.084	2011-03-01.58	39.623	0.004	226.9
2011-BLG-0081	BLG501.10	 66844	17:53:24.16	-30:02:34.9	2455660.621	2011-04-09.12	223.065	0.110	9.142
2011-BLG-0082	BLG501.11	 33448	17:52:57.75	-29:55:08.1	2455702.240	2011-05-20.74	65.220	0.260	3.944
2011-BLG-0083	BLG501.25	 32746	17:49:06.38	-29:33:21.1	2455642.210	2011-03-21.71	15.740	0.716	1.652
2011-BLG-0084	BLG501.27	 34442	17:53:38.27	-29:19:00.0	2455622.331	2011-03-01.83	25.845	0.176	5.741
2011-BLG-0085	BLG504.24	 874	17:55:38.20	-27:58:26.6	2455635.834	2011-03-15.33	17.124	0.177	5.722
2011-BLG-0086	BLG505.02	 142076	17:58:55.07	-29:39:50.5	2455655.700	2011-04-04.20	42.812	0.233	4.378
2011-BLG-0087	BLG505.24	 20391	17:55:40.98	-29:05:51.2	2455654.060	2011-04-02.56	75.383	0.369	2.845
2011-BLG-0088	BLG505.30	 88072	17:57:01.35	-28:40:56.2	2455624.513	2011-03-04.01	3.109	0.095	10.54
2011-BLG-0089	BLG506.01	 43116	17:59:42.12	-30:58:52.9	2455644.711	2011-03-24.21	60.160	0.368	2.854
2011-BLG-0090	BLG506.06	 150336	17:56:02.40	-30:48:24.2	2455622.921	2011-03-02.42	27.528	0.276	3.721
2011-BLG-0091	BLG506.15	 53210	17:55:29.14	-30:37:31.8	2455631.903	2011-03-11.40	6.787	0.950	1.380
2011-BLG-0092	BLG506.24	 69652	17:55:32.12	-30:14:44.4	2455617.485	2011-02-24.98	8.994	0.784	1.552
2011-BLG-0093	BLG506.25	 27227	17:54:53.93	-30:12:00.2	2455625.534	2011-03-05.03	16.075	0.190	5.329
2011-BLG-0094	BLG506.29	 55398	17:57:34.63	-30:01:53.2	2455622.384	2011-03-01.88	3.556	0.503	2.172
2011-BLG-0095	BLG511.19	 86322	18:04:27.08	-27:08:58.5	2455639.875	2011-03-19.38	105.912	0.221	4.606
2011-BLG-0096	BLG511.25	 38036	18:00:24.48	-27:22:28.7	2455624.887	2011-03-04.39	1.043	0.260	3.950
2011-BLG-0097	BLG512.03	 130935	18:03:43.41	-29:03:06.4	2455629.902	2011-03-09.40	22.477	0.332	3.135
2011-BLG-0098	BLG512.14	 193638	18:01:19.47	-28:47:34.3	2455642.714	2011-03-22.21	37.711	1.001	1.341
2011-BLG-0099	BLG512.22	 198507	18:02:03.61	-28:25:31.5	2455637.436	2011-03-16.94	17.286	0.699	1.680
2011-BLG-0100	BLG512.23	 72762	18:01:45.92	-28:31:34.8	2455620.737	2011-02-28.24	11.575	0.088	11.41
2011-BLG-0101	BLG512.23	 186353	18:01:18.65	-28:31:14.4	2455634.138	2011-03-13.64	10.297	1.697	1.096
2011-BLG-0102	BLG512.27	 133230	18:04:26.00	-28:11:26.5	2455625.527	2011-03-05.03	4.203	1.009	1.335
2011-BLG-0103	BLG514.11	 34155	18:04:05.14	-31:20:28.1	2455621.581	2011-03-01.08	10.766	0.394	2.681
2011-BLG-0104	BLG534.20	 182764	17:52:15.88	-30:50:30.8	2455624.945	2011-03-04.45	24.938	0.019	53.38
2011-BLG-0105	BLG501.12	 11232	17:52:07.57	-30:02:22.8	2455634.869	2011-03-14.37	5.862	0.333	3.124
2011-BLG-0106	BLG501.14	 20329	17:50:47.56	-29:56:43.1	2455626.466	2011-03-05.97	12.456	0.346	3.020
2011-BLG-0107	BLG504.03	 49842	17:58:23.39	-28:35:53.2	2455633.778	2011-03-13.28	10.878	0.535	2.065
2011-BLG-0108	BLG504.03	 190301	17:57:56.99	-28:27:18.5	2455629.503	2011-03-09.00	42.350	0.184	5.514
2011-BLG-0109	BLG504.03	 196416	17:58:00.18	-28:25:58.3	2455641.197	2011-03-20.70	28.813	0.126	8.005
2011-BLG-0110	BLG504.09	 47355	17:59:55.93	-27:59:59.5	2455668.375	2011-04-16.88	109.929	0.397	2.663
2011-BLG-0111	BLG505.05	 27160	17:57:02.04	-29:41:07.6	2455623.677	2011-03-03.18	14.521	0.688	1.699
2011-BLG-0112	BLG505.05	 158950	17:56:47.63	-29:34:36.4	2455656.419	2011-04-04.92	27.533	0.103	9.703
2011-BLG-0113	BLG505.11	 174023	17:58:06.47	-29:14:07.9	2455629.291	2011-03-08.79	2.806	0.146	6.917
2011-BLG-0114	BLG505.15	 160204	17:55:15.54	-29:15:58.4	2455633.512	2011-03-13.01	171.085	0.010	96.61
2011-BLG-0115	BLG505.16	 144479	17:54:39.08	-29:17:58.9	2455624.115	2011-03-03.62	58.449	0.143	7.046
2011-BLG-0116	BLG505.26	 201980	17:59:29.42	-28:42:19.5	2455638.397	2011-03-17.90	15.781	0.077	12.94
2011-BLG-0117	BLG505.31	 131659	17:56:06.48	-28:42:52.0	2455630.229	2011-03-09.73	4.493	0.491	2.215
2011-BLG-0118	BLG506.04	 99840	17:57:27.33	-31:02:00.6	2455643.969	2011-03-23.47	19.581	0.917	1.408
2011-BLG-0119	BLG511.04	 40775	18:03:19.23	-27:43:25.0	2455635.356	2011-03-14.86	17.019	1.370	1.167
2011-BLG-0120	BLG511.18	 86233	18:05:14.13	-27:06:47.4	2455670.185	2011-04-18.68	30.337	0.843	1.482
2011-BLG-0121	BLG512.04	 153908	18:02:57.41	-28:59:44.9	2455626.925	2011-03-06.42	2.876	0.655	1.762
2011-BLG-0122	BLG513.06	 99176	18:01:35.43	-30:18:16.0	2455666.749	2011-04-15.25	147.876	0.095	10.58
2011-BLG-0123	BLG513.11	 133435	18:03:35.38	-30:01:42.3	2455602.018	2011-02-09.52	27.013	0.290	3.559
2011-BLG-0124	BLG513.13	 35272	18:02:35.65	-29:51:08.3	2455638.415	2011-03-17.91	22.086	0.915	1.410
2011-BLG-0125	BLG513.20	 112226	18:03:32.95	-29:49:43.0	2455723.194	2011-06-10.69	124.574	0.302	3.427
2011-BLG-0126	BLG513.32	 87396	18:00:54.04	-29:17:46.6	2455618.270	2011-02-25.77	19.453	0.200	5.084
2011-BLG-0127	BLG534.12	 90204	17:51:47.35	-31:07:43.8	2455631.264	2011-03-10.76	4.290	1.129	1.263
2011-BLG-0128	BLG611.06	 25111	17:34:22.53	-27:34:40.2	2455638.179	2011-03-17.68	21.685	0.013	77.39
2011-BLG-0129	BLG611.13	 111086	17:34:49.66	-27:18:12.9	2455630.712	2011-03-10.21	7.370	0.474	2.283
2011-BLG-0130	BLG500.09	 38586	17:54:19.05	-28:41:47.0	2455640.091	2011-03-19.59	71.747	0.034	29.10
2011-BLG-0131	BLG504.06	 97046	17:56:15.49	-28:23:43.6	2455359.254	2010-06-11.75	5.791	1.219	1.221
2011-BLG-0132	BLG504.12	 185461	17:57:19.22	-28:11:49.1	2455651.107	2011-03-30.61	86.963	0.413	2.573
2011-BLG-0133	BLG505.01	 201689	17:59:26.67	-29:34:37.5	2455644.431	2011-03-23.93	29.016	0.084	11.98
2011-BLG-0134	BLG505.17	 77775	18:00:27.38	-29:03:35.7	2455651.719	2011-03-31.22	99.167	0.119	8.470
2011-BLG-0135	BLG505.24	 56705	17:55:34.93	-29:10:08.2	2455642.306	2011-03-21.81	18.739	0.261	3.930
2011-BLG-0136	BLG505.28	 68690	17:58:18.40	-28:49:07.7	2455650.469	2011-03-29.97	9.835	0.521	2.110
2011-BLG-0137	BLG505.28	 208865	17:58:00.08	-28:42:27.7	2455681.474	2011-04-29.97	73.163	0.414	2.568
2011-BLG-0138	BLG505.30	 123811	17:56:49.98	-28:45:26.6	2455666.825	2011-04-15.32	59.690	0.036	27.72
2011-BLG-0139	BLG506.08	 131253	18:00:08.99	-30:41:46.7	2455717.421	2011-06-04.92	107.773	0.355	2.945
2011-BLG-0140	BLG506.11	 147950	17:58:01.26	-30:30:53.5	2455644.973	2011-03-24.47	27.690	0.552	2.012
2011-BLG-0141	BLG511.06	 21524	18:01:53.97	-27:51:52.7	2455609.625	2011-02-17.12	37.798	0.598	1.889
2011-BLG-0142	BLG511.07	 64886	18:01:04.11	-27:52:05.1	2455636.083	2011-03-15.58	3.640	1.135	1.260
2011-BLG-0143	BLG511.08	 54214	18:05:56.07	-27:34:19.8	2455627.832	2011-03-07.33	25.428	0.413	2.575
2011-BLG-0144	BLG511.08	 65213	18:05:53.88	-27:30:17.6	2455652.096	2011-03-31.60	28.951	0.470	2.299
2011-BLG-0145	BLG511.14	 3852	18:01:49.64	-27:39:11.1	2455643.084	2011-03-22.58	63.236	0.183	5.541
2011-BLG-0146	BLG512.12	 229145	18:02:51.53	-28:38:43.9	2455640.036	2011-03-19.54	12.039	0.115	8.766
2011-BLG-0147	BLG534.03	 3875	17:52:48.14	-31:39:19.5	2455665.676	2011-04-14.18	20.922	1.148	1.253
2011-BLG-0148	BLG500.22	 84660	17:51:07.32	-28:30:15.4	2455646.042	2011-03-25.54	41.482	0.456	2.359
2011-BLG-0149	BLG501.04	 24231	17:52:10.07	-30:17:44.8	2455638.503	2011-03-18.00	5.078	0.924	1.402
2011-BLG-0150	BLG501.08	 96409	17:54:47.55	-29:54:01.6	2455642.374	2011-03-21.87	23.664	0.260	3.947
2011-BLG-0151	BLG504.05	 12897	17:57:04.59	-28:31:26.9	2455643.295	2011-03-22.80	7.620	0.050	19.97
2011-BLG-0152	BLG504.14	 134426	17:55:58.57	-28:08:09.6	2455649.632	2011-03-29.13	20.557	0.454	2.369
2011-BLG-0153	BLG505.11	 20055	17:58:34.09	-29:24:18.4	2455663.220	2011-04-11.72	27.975	0.434	2.463
2011-BLG-0154	BLG505.13	 93200	17:56:51.66	-29:17:59.8	2455640.689	2011-03-20.19	14.909	0.578	1.940
2011-BLG-0155	BLG505.14	 105800	17:55:59.74	-29:30:47.9	2455727.546	2011-06-15.05	64.172	1.435	1.149
2011-BLG-0156	BLG505.18	 31018	17:59:58.33	-29:01:50.3	2455640.001	2011-03-19.50	11.684	0.823	1.504
2011-BLG-0157	BLG506.13	 46372	17:56:49.37	-30:41:55.4	2455668.304	2011-04-16.80	52.229	0.510	2.148
2011-BLG-0158	BLG506.18	 157845	17:59:27.19	-30:17:21.9	2455645.504	2011-03-25.00	6.942	0.868	1.455
2011-BLG-0159	BLG511.03	 24037	18:03:55.22	-27:49:43.2	2455642.658	2011-03-22.16	8.129	0.413	2.576
2011-BLG-0160	BLG511.17	 76129	18:05:52.34	-27:10:27.5	2455647.464	2011-03-26.96	19.878	0.498	2.192
2011-BLG-0161	BLG511.23	 114585	18:01:17.48	-27:18:19.2	2455697.403	2011-05-15.90	56.897	1.516	1.130
2011-BLG-0162	BLG512.20	 166657	18:03:40.38	-28:20:35.6	2455641.915	2011-03-21.41	2.455	0.374	2.813
2011-BLG-0163	BLG514.31	 72551	18:01:53.87	-30:30:21.1	2455654.637	2011-04-03.14	19.668	0.252	4.058
2011-BLG-0164	BLG514.31	 150695	18:01:32.27	-30:31:09.7	2455640.396	2011-03-19.90	15.964	0.000	99502
2011-BLG-0165	BLG534.27	 119298	17:53:07.99	-30:33:28.6	2455643.276	2011-03-22.78	28.458	0.333	3.129
2011-BLG-0166	BLG611.09	 92402	17:37:37.60	-27:16:43.8	2455637.176	2011-03-16.68	6.871	0.996	1.344
2011-BLG-0167	BLG611.21	 154992	17:35:17.67	-27:08:32.0	2455641.076	2011-03-20.58	0.774	0.001	1549.
2011-BLG-0168	BLG500.02	 12602	17:53:43.05	-29:08:45.8	2455690.112	2011-05-08.61	25.443	0.353	2.960
2011-BLG-0169	BLG500.02	 122171	17:53:15.69	-29:09:47.2	2455653.471	2011-04-01.97	5.254	0.661	1.750
2011-BLG-0170	BLG500.05	 21369	17:51:30.22	-29:02:03.7	2455868.865	2011-11-03.37	144.119	0.305	3.395
2011-BLG-0171	BLG501.06	 3210	17:50:43.68	-30:26:51.3	2455644.491	2011-03-23.99	1.595	0.000	10047
2011-BLG-0172	BLG501.18	 4878	17:54:22.50	-29:50:01.8	2455670.223	2011-04-18.72	66.355	0.024	41.53
2011-BLG-0173	BLG504.12	 176918	17:57:15.78	-28:14:01.9	2455689.214	2011-05-07.71	26.942	0.946	1.383
2011-BLG-0174	BLG505.03	 211709	17:58:05.28	-29:39:42.2	2455650.070	2011-03-29.57	156.217	0.010	97.38
2011-BLG-0175	BLG505.26	 66089	17:59:51.51	-28:49:28.9	2455646.794	2011-03-26.29	31.050	0.191	5.297
2011-BLG-0176	BLG506.05	 189290	17:56:27.53	-30:49:31.0	2455665.542	2011-04-14.04	17.287	1.863	1.074
2011-BLG-0177	BLG506.08	 22540	18:00:37.93	-30:34:16.7	2455645.149	2011-03-24.65	3.004	0.000	31739
2011-BLG-0178	BLG506.16	 71936	17:54:38.13	-30:42:07.0	2455651.350	2011-03-30.85	11.141	0.378	2.788
2011-BLG-0179	BLG512.13	 224290	18:02:02.79	-28:38:09.0	2455646.804	2011-03-26.30	4.779	1.252	1.208
2011-BLG-0180	BLG513.13	 78889	18:02:18.86	-30:08:10.3	2455640.516	2011-03-20.02	12.863	0.970	1.364
2011-BLG-0181	BLG514.05	 150759	18:02:14.86	-31:25:18.3	2455648.972	2011-03-28.47	9.262	1.013	1.332
2011-BLG-0182	BLG534.12	 55927	17:51:56.42	-31:09:23.1	2455644.717	2011-03-24.22	5.589	0.522	2.106
2011-BLG-0183	BLG534.31	 59152	17:50:35.08	-30:34:28.3	2455668.786	2011-04-17.29	20.640	0.788	1.547
2011-BLG-0184	BLG611.17	 111695	17:37:59.41	-27:07:35.4	2455644.515	2011-03-24.02	0.389	0.000	3930.
2011-BLG-0185	BLG500.03	 100257	17:52:45.12	-28:56:28.4	2455650.483	2011-03-29.98	1.647	0.579	1.938
2011-BLG-0186	BLG500.04	 31327	17:52:17.80	-29:02:21.5	2455647.945	2011-03-27.45	6.227	0.021	47.35
2011-BLG-0187	BLG500.08	 199849	17:54:30.03	-28:39:14.4	2455659.200	2011-04-07.70	8.715	0.445	2.409
2011-BLG-0188	BLG501.13	 75927	17:51:15.23	-29:53:50.8	2455682.549	2011-05-01.05	91.038	0.239	4.271
2011-BLG-0189	BLG501.16	 59694	17:48:48.71	-30:00:51.6	2455652.745	2011-04-01.25	12.588	0.461	2.339
2011-BLG-0190	BLG501.18	 20707	17:54:22.88	-29:41:31.6	2455674.892	2011-04-23.39	22.002	1.208	1.226
2011-BLG-0191	BLG501.19	 173555	17:53:09.48	-29:49:10.6	2455660.773	2011-04-09.27	96.359	0.202	5.037
2011-BLG-0192	BLG501.20	 62219	17:52:43.84	-29:44:17.5	2455668.571	2011-04-17.07	27.567	0.350	2.989
2011-BLG-0193	BLG501.23	 69168	17:50:22.87	-29:45:53.8	2455660.918	2011-04-09.42	33.848	1.879	1.073
2011-BLG-0194	BLG504.03	 29190	17:58:28.00	-28:26:39.1	2455649.711	2011-03-29.21	28.947	0.560	1.988
2011-BLG-0195	BLG504.13	 168210	17:56:33.31	-28:17:30.3	2455688.003	2011-05-06.50	28.304	0.789	1.545
2011-BLG-0196	BLG505.03	 195224	17:57:58.20	-29:44:23.7	2455655.342	2011-04-03.84	12.998	0.437	2.447
2011-BLG-0197	BLG505.28	 9261	17:58:30.10	-28:51:13.0	2455652.787	2011-04-01.29	22.104	1.124	1.266
2011-BLG-0198	BLG506.15	 45515	17:55:26.35	-30:41:28.5	2455647.202	2011-03-26.70	4.823	0.758	1.587
2011-BLG-0199	BLG506.16	 115092	17:54:22.07	-30:33:39.5	2455655.896	2011-04-04.40	10.014	0.015	64.86
2011-BLG-0200	BLG506.30	 140367	17:56:41.39	-29:53:32.2	2455653.395	2011-04-01.90	7.593	0.590	1.909
2011-BLG-0201	BLG511.12	 71245	18:03:02.08	-27:30:18.0	2455665.442	2011-04-13.94	36.484	0.277	3.709
2011-BLG-0202	BLG511.14	 111454	18:01:32.46	-27:32:39.7	2455647.276	2011-03-26.78	3.375	1.055	1.305
2011-BLG-0203	BLG512.04	 174	18:03:24.95	-29:12:48.3	2455673.882	2011-04-22.38	35.223	0.897	1.426
2011-BLG-0204	BLG512.19	 131074	18:04:22.29	-28:31:53.5	2455648.201	2011-03-27.70	4.168	1.222	1.220
2011-BLG-0205	BLG512.27	 113705	18:04:30.63	-28:00:18.6	2455651.634	2011-03-31.13	5.845	0.973	1.362
2011-BLG-0206	BLG513.21	 71074	18:03:10.47	-29:36:25.1	2455656.645	2011-04-05.14	7.118	0.043	23.16
2011-BLG-0207	BLG514.18	 44733	18:05:29.39	-30:59:57.1	2455656.009	2011-04-04.51	19.766	1.037	1.317
2011-BLG-0208	BLG534.13	 42939	17:51:14.30	-31:13:37.1	2455648.557	2011-03-28.06	11.084	0.602	1.880
2011-BLG-0209	BLG534.18	 182482	17:53:46.67	-30:49:02.7	2455650.630	2011-03-30.13	3.938	1.328	1.180
2011-BLG-0210	BLG534.24	 50666	17:49:42.04	-30:47:51.2	2455729.524	2011-06-17.02	89.281	0.910	1.415
2011-BLG-0211	BLG611.26	 113112	17:37:21.31	-26:40:02.7	2455677.203	2011-04-25.70	26.757	0.243	4.207
2011-BLG-0212	BLG501.28	 10875	17:52:53.59	-29:24:57.8	2455662.262	2011-04-10.76	15.862	0.351	2.979
2011-BLG-0213	BLG512.29	 71222	18:03:10.19	-28:11:21.2	2455675.088	2011-04-23.59	14.043	1.016	1.330
2011-BLG-0214	BLG513.08	 88093	18:05:52.99	-29:52:49.6	2455684.205	2011-05-02.71	52.122	1.060	1.302
2011-BLG-0215	BLG611.11	 88622	17:36:16.92	-27:11:55.8	2455655.905	2011-04-04.41	48.452	0.007	143.1
