#  Name       RA      DEC       l       b     Epoch    RA_decimal   DEC_decimal    l_decimal     b_decimal  Prefix No
BLG595     18:39:43    -19:25:10      14:16:56     -6:14:25   2000.0    18.6619444   -19.4194444    14.2820926    -6.2402100   BLG 595
BLG596     18:39:45    -20:39:00      13:10:39     -6:47:49   2000.0    18.6625000   -20.6500000    13.1775712    -6.7970711   BLG 596
BLG599     17:51:29    -35:59:55     354:34:21     -4:41:30   2000.0    17.8580556   -35.9986111   354.5724799    -4.6916011   BLG 599
BLG600     17:51:23    -37:13:45     353:29:47     -5:17:46   2000.0    17.8563889   -37.2291667   353.4963571    -5.2960972   BLG 600
BLG601     17:51:17    -38:27:35     352:25:06     -5:53:57   2000.0    17.8547222   -38.4597222   352.4184547    -5.8992963   BLG 601
BLG602     17:51:11    -39:41:25     351:20:19     -6:30:04   2000.0    17.8530556   -39.6902778   351.3385412    -6.5009981   BLG 602
BLG603     17:45:46    -34:09:10     355:33:36     -2:44:28   2000.0    17.7627778   -34.1527778   355.5598655    -2.7412018   BLG 603
BLG604     17:45:36    -35:23:00     354:29:19     -3:21:02   2000.0    17.7600000   -35.3833333   354.4886825    -3.3505094   BLG 604
BLG605     17:45:25    -36:36:50     353:24:54     -3:57:24   2000.0    17.7569444   -36.6138889   353.4149549    -3.9566805   BLG 605
BLG606     17:45:13    -37:50:40     352:20:19     -4:33:35   2000.0    17.7536111   -37.8444444   352.3385427    -4.5596628   BLG 606
BLG607     17:45:01    -39:04:30     351:15:40     -5:09:44   2000.0    17.7502778   -39.0750000   351.2609891    -5.1621794   BLG 607
BLG608     17:44:48    -40:18:20     350:10:50     -5:45:41   2000.0    17.7466667   -40.3055556   350.1804255    -5.7613251   BLG 608
BLG609     17:39:50    -34:46:05     354:23:35     -2:01:24   2000.0    17.6638889   -34.7680556   354.3931062    -2.0233159   BLG 609
BLG610     17:39:35    -35:59:55     353:19:20     -2:38:00   2000.0    17.6597222   -35.9986111   353.3223247    -2.6333924   BLG 610
BLG611     17:35:30    -27:10:00       0:19:03     02:49:52   2000.0    17.5916667   -27.1666667     0.3175727     2.8310432   BLG 611
BLG612     17:30:00    -28:00:00     358:57:13     03:24:03   2000.0    17.5000000   -28.0000000   358.9535503     3.4007837   BLG 612
BLG613     17:30:00    -29:13:50     357:55:26     02:43:29   2000.0    17.5000000   -29.2305556   357.9238366     2.7247690   BLG 613
BLG614     17:24:27    -28:36:55     357:45:43     04:04:35   2000.0    17.4075000   -28.6152778   357.7618273     4.0765200   BLG 614
BLG615     17:24:23    -29:50:45     356:43:56     03:23:57   2000.0    17.4063889   -29.8458333   356.7321329     3.3992264   BLG 615
BLG616     17:16:00    -28:30:00     356:48:01     05:40:11   2000.0    17.2666667   -28.5000000   356.8003161     5.6697101   BLG 616
BLG617     17:16:00    -29:43:50     355:47:24     04:57:39   2000.0    17.2666667   -29.7305556   355.7900469     4.9609117   BLG 617
BLG618     17:10:25    -29:06:55     355:34:56     06:18:28   2000.0    17.1736111   -29.1152778   355.5823040     6.3077376   BLG 618
BLG619     17:25:00    -26:00:00       0:00:30     05:26:03   2000.0    17.4166667   -26.0000000     0.0082406     5.4341476   BLG 619
BLG620     17:35:00    -21:00:00       5:28:41     06:14:04   2000.0    17.5833333   -21.0000000     5.4781842     6.2344597   BLG 620
BLG621     17:35:00    -22:13:50       4:25:56     05:34:38   2000.0    17.5833333   -22.2305556     4.4322689     5.5772516   BLG 621
BLG622     17:35:00    -23:27:40       3:23:19     04:55:06   2000.0    17.5833333   -23.4611111     3.3886972     4.9182008   BLG 622
BLG623     17:40:12    -20:23:05       6:38:59     05:31:40   2000.0    17.6700000   -20.3847222     6.6497806     5.5278318   BLG 623
BLG624     17:40:14    -21:36:55       5:36:09     04:52:29   2000.0    17.6705556   -21.6152778     5.6025105     4.8747018   BLG 624
BLG625     17:40:17    -22:50:45       4:33:33     04:13:00   2000.0    17.6713889   -22.8458333     4.5592371     4.2168033   BLG 625
BLG626     17:40:20    -24:04:35       3:31:03     03:33:28   2000.0    17.6722222   -24.0763889     3.5176194     3.5576905   BLG 626
BLG627     17:45:19    -17:18:30       9:55:28     06:05:25   2000.0    17.7552778   -17.3083333     9.9243688     6.0901871   BLG 627
BLG628     17:45:21    -18:32:20       8:52:04     05:27:02   2000.0    17.7558333   -18.5388889     8.8677963     5.4504363   BLG 628
BLG629     17:45:23    -19:46:10       7:48:48     04:48:32   2000.0    17.7563889   -19.7694444     7.8134167     4.8089443   BLG 629
BLG630     17:45:25    -21:00:00       6:45:39     04:09:57   2000.0    17.7569444   -21.0000000     6.7609608     4.1659380   BLG 630
BLG631     17:45:30    -22:13:50       5:42:58     03:30:42   2000.0    17.7583333   -22.2305556     5.7161714     3.5117497   BLG 631
BLG632     17:45:36    -23:27:40       4:40:29     02:51:12   2000.0    17.7600000   -23.4611111     4.6746556     2.8534199   BLG 632
BLG633     17:45:42    -24:41:30       3:38:03     02:11:40   2000.0    17.7616667   -24.6916667     3.6341070     2.1945130   BLG 633
BLG634     17:50:27    -17:55:25      10:01:13     04:43:28   2000.0    17.8408333   -17.9236111    10.0203207     4.7243462   BLG 634
BLG635     17:50:31    -19:09:15       8:57:56     04:05:07   2000.0    17.8419444   -19.1541667     8.9654205     4.0853796   BLG 635
BLG636     17:50:35    -20:23:05       7:54:43     03:26:43   2000.0    17.8430556   -20.3847222     7.9120800     3.4452364   BLG 636
BLG637     17:50:39    -21:36:55       6:51:36     02:48:15   2000.0    17.8441667   -21.6152778     6.8600280     2.8041467   BLG 637
