wavelength flux
3792.72071897 6.3566e-15
3794.74342582 -7.71274e-14
3796.76613268 -7.60565e-14
3798.78883953 9.46335e-15
3800.81154639 -1.27791e-15
3802.83425324 -9.3816e-14
3804.8569601 -7.95569e-14
3806.87966695 3.96659e-14
3808.90237381 1.03397e-13
3810.92508066 8.59665e-14
3812.94778752 6.15417e-14
3814.97049437 4.42263e-14
3816.99320123 1.58464e-14
3819.01590808 -3.03312e-14
3821.03861494 -9.52686e-14
3823.06132179 -1.43358e-13
3825.08402865 -1.27521e-13
3827.1067355 -6.63621e-14
3829.12944236 -1.46915e-14
3831.15214921 3.96912e-15
3833.17485607 -3.29175e-15
3835.19756292 -2.77018e-14
3837.22026978 -6.62903e-14
3839.24297663 -7.74557e-14
3841.26568349 -1.71761e-14
3843.28839034 6.24839e-14
3845.3110972 9.58061e-14
3847.33380405 1.14573e-13
3849.35651091 1.50627e-13
3851.37921776 1.2548e-13
3853.40192462 -2.51996e-15
3855.42463147 -9.9929e-14
3857.44733833 -7.04788e-14
3859.47004518 4.1262e-14
3861.49275204 1.62064e-13
3863.51545889 1.70693e-13
3865.53816575 4.80945e-14
3867.5608726 -3.57383e-14
3869.58357946 -1.67084e-14
3871.60628631 2.33812e-14
3873.62899317 5.18068e-14
3875.65170002 7.02779e-14
3877.67440688 6.83813e-14
3879.69711373 4.1241e-14
3881.71982059 5.43153e-15
3883.74252744 -1.7369e-14
3885.7652343 -3.10273e-14
3887.78794115 -4.16454e-14
3889.81064801 -3.62715e-14
3891.83335486 -7.62384e-15
3893.85606172 2.82481e-14
3895.87876857 4.63568e-14
3897.90147543 2.83966e-14
3899.92418228 -6.6053e-15
3901.94688914 -7.84475e-15
3903.96959599 2.60687e-14
3905.99230285 5.67473e-14
3908.0150097 6.5835e-14
3910.03771656 4.47191e-14
3912.06042341 5.57023e-15
3914.08313027 -2.2343e-14
3916.10583712 3.73951e-15
3918.12854398 9.20051e-14
3920.15125083 1.24963e-13
3922.17395769 3.87422e-14
3924.19666454 -5.73801e-14
3926.2193714 -8.71795e-14
3928.24207825 -4.29992e-14
3930.26478511 2.26092e-14
3932.28749196 2.24059e-15
3934.31019882 -1.92213e-14
3936.33290567 1.06354e-13
3938.35561253 2.28942e-13
3940.37831938 1.79948e-13
3942.40102624 6.95741e-14
3944.42373309 8.96315e-15
3946.44643995 -1.5815e-14
3948.4691468 -2.13901e-14
3950.49185366 -9.3115e-15
3952.51456051 4.99534e-15
3954.53726737 1.48256e-15
3956.55997422 -8.41212e-15
3958.58268108 -6.0675e-15
3960.60538793 8.21302e-15
3962.62809479 2.03051e-14
3964.65080164 -4.6662e-15
3966.6735085 -3.89321e-14
3968.69621535 1.4695e-14
3970.71892221 1.06799e-13
3972.74162906 1.10671e-13
3974.76433592 5.84026e-14
3976.78704277 2.92492e-14
3978.80974963 4.26169e-14
3980.83245648 7.65301e-14
3982.85516334 7.057e-14
3984.87787019 2.13688e-14
3986.90057705 -1.61076e-14
3988.9232839 -5.11014e-15
3990.94599076 4.56286e-14
3992.96869761 7.08899e-14
3994.99140447 4.71341e-14
3997.01411132 2.35769e-14
